co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
"Bộ Văn hóa, Thể thao và Du lịch",HVA,Học viện,Công lập,Hue Academy of Music,HỌC VIỆN ÂM NHẠC HUẾ,Thừa Thiên Huế,http://hocvienamnhachue.edu.vn/
Bộ Giáo dục và Đào tạo,E,Đại học,Công lập,The University of Da Nang,ĐẠI HỌC ĐÀ NẴNG,Đà Nẵng,http://www.udn.vn
C,"Vietnam National University, Ho Chi Minh City",Đại học,Công lập,https://vnuhcm.edu.vn/,ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,
Bộ Y tế,YDS,Trường đại học,Công lập,University of Medicine and Pharmacy at Ho Chi Minh City,ĐẠI HỌC Y DƯỢC TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://ump.edu.vn/
Bộ Giáo dục và Đào tạo,D,Đại học,Công lập,Hue University,ĐẠI HỌC HUẾ,Thừa Thiên Huế,https://hueuni.edu.vn/
Bộ Giáo dục và Đào tạo,B,Đại học,Công lập,Thai Nguyen University,ĐẠI HỌC THÁI NGUYÊN,Thái Nguyên,http://www.tnu.edu.vn/
A,"Vietnam National University, Hanoi",Đại học,Công lập,https://www.vnu.edu.vn/,ĐẠI HỌC QUỐC GIA HÀ NỘI,Hà Nội,
"Bộ Văn hóa, Thể thao và Du lịch",NVH,Học viện,Công lập,Viet Nam National Academy of Music,HỌC VIỆN ÂM NHẠC QUỐC GIA VIỆT NAM,Hà Nội,https://www.vnam.edu.vn/
Học viện Chính trị Quốc gia Hồ Chí Minh,HCC,Học viện,Công lập,Academy of Politics - Public Administration Region I,HỌC VIỆN CHÍNH TRỊ KHU VỰC I,Hà Nội,https://hcma1.hcma.vn
Ban Chấp hành Trung ương Đảng cộng sản Việt Nam,HVH,Học viện,Công lập,Ho Chi Minh National Academy of Politics,HỌC VIỆN CHÍNH TRỊ QUỐC GIA HỒ CHÍ MINH,Hà Nội,https://hcma.vn
Học viện Chính trị Quốc gia Hồ Chí Minh,HBT,Học viện,Công lập,Academy of Journalism and Communication,HỌC VIỆN BÁO CHÍ VÀ TUYÊN TRUYỀN,Hà Nội,https://ajc.hcma.vn/
