company_name,product_owner,company_address,phone_number,fax,type,email,representative,landline_number,mst,product

CÔNG TY TNHH THƯƠNG MẠI & THIẾT BỊ Y TẾ GIA VŨ,,"Số 15 Yên Lãng, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,tbytgiavu@gmail.com,JUNG JUHO,0909990853,0106753042,Kim dây định vị u vú
CÔNG TY CỔ PHẦN WINMED VIỆT NAM,,"Số 289 đường Nguyễn Văn Cừ, Phường Hưng Bình, Vinh, Tỉnh Nghệ An",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,xnk@winmed.vn,Phan Thị Hải Yến,02383782668,0106804970,Dụng cụ chỉnh nha
CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ - XUẤT NHẬP KHẨU VIÊN PHÁT,,"63B Calmette, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hr02@vipha.co,Ha Ngoc Minh Phong,0919515699,0305477703,Gạc phẫu thuật có cản quang X-A Osaki
CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ -VẬT TƯ Y TẾ DUY CƯỜNG,,"Xóm 16,Xuân Trang, Xã Nghi Đức, Vinh, Tỉnh Nghệ An",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,duycuongth@gmail.com,Hoàng Duy Cường,0986496141,2901720991,Máy nội soi tai mũi họng
CÔNG TY CỔ PHẦN WINMED VIỆT NAM,,"Số 289 đường Nguyễn Văn Cừ, Phường Hưng Bình, Vinh, Tỉnh Nghệ An",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,xnk@winmed.vn,Phan Thị Hải Yến,02383782668,0106804970,Trâm nội nha
CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ - XUẤT NHẬP KHẨU VIÊN PHÁT,,"63B Calmette, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hr02@vipha.co,Ha Ngoc Minh Phong,0919515699,0305477703,"Gạc phẫu thuật có cản quang X-A Osaki, tiệt trùng"
CÔNG TY TNHH CÔNG NGHỆ Y TẾ VÀ DƯỢC PHẨM DCAREME - CHI NHÁNH HÀ NỘI,,"Số 16 ngõ 185 ngách 31 phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,duocphamytedcareme@gmail.com,Lê Thị Dung,0906234456,0801331363,DUNG DỊCH NHÃN KHOA D’TRANG
CÔNG TY TNHH THIẾT BỊ Y TẾ BẢO CHÂU,,"172/16A Đường TTH07, Phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,baochau.medical@yahoo.com,Lê Văn Ý,0982352424,0312316087,Bộ đo huyết áp động mạch 
VĂN PHÒNG ĐẠI DIỆN  WOCKHARDT LIMITED TẠI THÀNH PHỐ HỒ CHÍ MINH,,"Phòng 1106, tầng 11, toàn nhà Deutsches Haus, số 33, đường Lê Duẫn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,raman14raja@gmail.com,RAMAN RAJA,0909833906,0304621418,Bút tiêm insulin
CÔNG TY TNHH SAMSUN VINA,,"112 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phan.ngocthuan@samsunvina.com,HAN CHEONG WOO,(028) 7306 1112,0313019739,Vật liệu Zirconia (sứ) dùng làm phục hình răng và phụ kiện
CÔNG TY TNHH SAMSUN VINA,,"112 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phan.ngocthuan@samsunvina.com,HAN CHEONG WOO,(028) 7306 1112,0313019739,Bản sao nha khoa implant Lab analog
CÔNG TY TNHH SAMSUN VINA,,"112 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phan.ngocthuan@samsunvina.com,HAN CHEONG WOO,(028) 7306 1112,0313019739,Khớp nối nha khoa Abutment 
CÔNG TY TNHH SAMSUN VINA,,"112 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phan.ngocthuan@samsunvina.com,HAN CHEONG WOO,(028) 7306 1112,0313019739,Trụ lành thương Healing Abutment 
CÔNG TY TNHH TRANG THIẾT BỊ Y TẾ - KHOA HỌC KỸ THUẬT VIỆT TÂN,,"133, Đường số 3, Cư xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,anhthu@viettanmed.com,Nguyễn Nguyệt Ánh,02838645515,0304185031,Đồng hồ oxy
CÔNG TY TNHH SAMSUN VINA,,"112 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phan.ngocthuan@samsunvina.com,HAN CHEONG WOO,(028) 7306 1112,0313019739,Khớp nối nha khoa Premill Abutment 
CÔNG TY TNHH SAMSUN VINA,,"112 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phan.ngocthuan@samsunvina.com,HAN CHEONG WOO,(028) 7306 1112,0313019739,Bản sao nha khoa Implant Impression Coping 
CÔNG TY TNHH THƯƠNG MẠI AT&T,,"LK11-21, KHU ĐÔ THỊ MỚI AN HƯNG, PHƯỜNG DƯƠNG NỘI, QUẬN HÀ ĐÔNG, THÀNH PHỐ HÀ NỘI, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,att@ivf-att.com.vn,NGUYỄN HẢI ANH,02462926488,0101261343,"Kim tách trứng, chuyển mẫu"
CÔNG TY TNHH VIỆT HÙNG GROUP,,"68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,viethunggroup@icloud.com,Phạm Quốc Hùng,0357667779,0313892157,Bộ vật liệu chỉnh nha
CÔNG TY TNHH ĐẦU TƯ GIẢI PHÁP CÔNG NGHỆ,,"A44 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,anhtq@intesco.com.vn,ĐỖ QUANG TUYẾN,02839204735,0302854791,Cụm IVT Môi trường chứa trứng/phôi
CÔNG TY TNHH DƯỢC PHẨM GLOBAL,,"Số 3 Đường D13, Khu phố 3, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,director.globalpharma@gmail.com,Võ Thành Tiến,0903826429,0315065321,Miếng dán vết thương collagen-HealiAid
