company_name,mst,company_representative,address
CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SX - TM A.S.T.A,0303191466-001,NGÔ TẤN PHÊ," Ấp Suối Sâu, Xã An Tịnh, Thị xã Trảng Bàng, Tỉnh Tây Ninh, Việt Nam"
CÔNG TY TNHH ĐÔNG NAM DƯỢC BÀNG THÁI CHI NHÁNH VÂN ĐỒN - QUẢNG NINH,0310421583-001,BÀNG TIẾN QUÂN," Lô 354, thôn 11, Xã Hạ Long, Huyện Vân Đồn, Tỉnh Quảng Ninh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT KINH DOANH THUỐC THÚ Y MINH HUY,0301860880-002,VƯƠNG THỊ NGỌC THẢO," Lô A111, Đường số 2, Khu công nghiệp Thái Hòa, ẤP Tân Hòa, Xã Đức Lập Hạ, Huyện Đức Hoà, Tỉnh Long An, Việt Nam"
CÔNG TY CỔ PHẦN THUỖC THÚ Y TRUNG ƯƠNG I HÀ NỘI,0103128121,ĐẶNG VĂN DŨNG," Số 88 đường Trường Chinh, Phường Phương Mai, Quận Đống Đa, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THUỐC THÚ Y THỦY SẢN ĐẠI AN THÁI - CHI NHÁNH BÌNH DƯƠNG,0302964723-002,NGUYỄN KHẮC CHƯƠNG ," Thửa đất số 358, Tờ bản đồ số 17, Ấp 6, Xã Vĩnh Tân, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN DƯỢC ĐẠI NAM,0305925578-001,TRƯƠNG CHÍ CẢ ," Số 125/3 đường Lê Thị Hồng Gấm, Phường 6, Thành phố Mỹ Tho, Tỉnh Tiền Giang, Việt Nam"
CÔNG TY CỔ PHẦN THƯƠNG MẠI NHÀ THUỐC PHÚC THIỆN,0310421495,NGUYỄN THỊ ÁNH PHƯỚC," 146, Phường An Lạc A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN DƯỢC PHẨM BÁI TỬ LONG - KHO CHỨA HÀNG,0311311093-001,NGUYỄN THÀNH SƠN ," 19 Bình Trưng, Phường Bình Trưng Đông, Quận 2, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN DƯỢC LIỆU DHG TẠI AN GIANG,1800723433-003,NGUYỄN THANH THÁI," Ấp Tà Dung, Xã Lương Phi, Huyện Tri Tôn, Tỉnh An Giang, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN DƯỢC LIỆU DHG,1800723433,NGUYỄN THỊ THÚY LAN," 288 Bis Nguyễn Văn Cừ, Phường An Hòa, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH TÂN ĐIỀN,4200726396,NGUYỄN TIẾN KHOA," Số nhà 51, thôn Trung 3, Xã Diên Điền, Huyện Diên Khánh, Tỉnh Khánh Hòa, Việt Nam"
CHI NHÁNH CÔNG TY TNHH HÀ HẢO LONG,0303718103-001,PHẠM SƠN HẢO ," 4/15 Đông Hưng Thuận 5, Phường Tân Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH DƯỢC PHẨM NHẤT NHẤT TẠI BÌNH DƯƠNG,0311089392-002,LÊ HOÀNG PHÚC ," Số 8 VSIP 2-A, Đường số 16, KCN Việt Nam Singapore 2-A, Xã Vĩnh Tân, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THÚ Y THỦY SẢN TRUNG TÍN,0310855647,HUỲNH TRUNG HIẾU," 634/7 Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
DOANH NGHIỆP TƯ NHÂN THUỐC Y HỌC CỔ TRUYỀN PHƯỚC SANH,1101364848,TRƯƠNG VŨ KHÁNH," Số 272C, Khu 3, Thị Trấn Đức Hòa, Huyện Đức Hoà, Tỉnh Long An, Việt Nam"
CÔNG TY TNHH THUỐC THÚ Y HẬU GIANG,1800400471,TRẦN QUỐC LINH," 108/46/6, đường 30/4, Phường An Phú, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH THUỐC THÚ Y 2/9 CẦN THƠ,1800271265,LÊ THỊ THU TRÚC," 59, Nguyễn Việt Hồng, Phường An Phú, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam"
CÔNG TY CỔ PHẦN PHARMA WORLD,0901023475,NGUYỄN HOÀNG DƯƠNG," Cụm công nghiệp Nguyên Xá, Xã Nhân Hòa, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN DƯỢC Y TẾ & THƯƠNG MẠI BẢO CHÂU TẠI HÀ GIANG,6200013945-004,NGUYỄN ĐỖ HÙNG," Km 22, Thị Trấn Vị Xuyên, Huyện Vị Xuyên, Tỉnh Hà Giang, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT QUỐC TẾ TECHGOLD,0314735686,NGUYỄN THỊ THƯƠNG," 29/9 Xuân Thới Sơn, Ấp 4, Xã Xuân Thới Sơn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH XẠ ĐEN HÒA BÌNH,5400467736,NGUYỄN THỊ VÂN," Xóm Thanh Đức, Xã Mãn Đức, Huyện Tân Lạc, Tỉnh Hòa Bình, Việt Nam"
DOANH NGHIỆP TƯ NHÂN ĐỒNG LOAN CAO BẰNG,4800899577,NÔNG ĐÌNH ĐỒNG," Số nhà 047, tổ 15, Phường Sông Hiến, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam"
CÔNG TY TNHH INTERPHARMA VIỆT NAM,0107713349,NGUYỄN VÕ HOÀNG LIÊN," Số 15 BT7, KĐT Văn Phú, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ THUỐC THÚ Y HƯNG PHÁT,0601074888,NGUYỄN THỊ ĐÔNG," Số 50C, đường Hoàng Hoa Thám, Phường Ngô Quyền, Thành phố Nam Định, Tỉnh Nam Định, Việt Nam"
CÔNG TY CỔ PHẦN NAM DƯỢC THANH TRÚC,4601279882,NGUYỄN THỊ VIỆT THANH," Tổ 5, Phường Phan Đình Phùng, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI JSC MIỀN BẮC,0107912062,Bùi Đông Như Thạch," Số 98, Phố Lê Xuân ĐIệp, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ-SẢN XUẤT-THƯƠNG MẠI THIÊN ÂN DƯỢC,3901150207-001,NGUYỄN NGỌC QUANG," Số 633, tổ 7, ấp Suối Muồn, Xã Thái Bình, Huyện Châu Thành, Tỉnh Tây Ninh, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐẦU TƯ-SẢN XUẤT-THƯƠNG MẠI THIÊN ÂN DƯỢC,3901150207,Nguyễn Ngọc Quang," Số 384B, đường 30-4, khu phố 1, Phường 3, Thành phố Tây Ninh, Tỉnh Tây Ninh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ SẢN XUẤT THUỐC THÚ Y THỊNH Á,0301460240-001,LÊ THỊ TUYẾT NHUNG," Đường 5, KCN Giang Điền, Xã Giang Điền, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY CỔ PHẦN NAM DƯỢC SƠN DƯƠNG,2500600619,Bùi Long," Số Nhà 164, Đường Chùa Hà, Xã Định Trung, Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc, Việt Nam"
CÔNG TY TNHH THẢO DƯỢC ÂU CƠ,2600997118,Trần Anh Dũng," Số nhà 3068, tổ 6, khu 1B, Phường Vân Phú, Thành phố Việt Trì, Tỉnh Phú Thọ, Việt Nam"
CÔNG TY TNHH SX ĐẦU TƯ THƯƠNG MẠI DU LỊCH ĐÔNG DƯỢC THIỆN TUỆ,5400536838,VÕ THỊ MỸ DUYÊN ," Tiểu khu Bờ, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình, Việt Nam"
