address,country,facebook,instagram,name,phone,pinterest,twitter,web
"The St. Regis Mardavall Mallorca Resort, Carretera Palma-Andratx 19, Costa d'en Blanes, Palma de Mallorca, Spain","Palma de Mallorca, Spain",https://web.facebook.com/stregismardavall/?_rdc=1&_rdr,https://www.instagram.com/stregismardavall/,Arabella Spa at The St. Regis Mardavall Mallorca Resort,+34 971629629,,,https://www.marriott.com/en-us/hotels/pmixr-the-st-regis-mardavall-mallorca-resort/experiences/
"Mövenpick Asara Resort & Spa Hua Hin, 53 Soi Moo Ban Bo Fai, Tambon Hua Hin, Amphur Hua Hin, Prachuabkhirikhan, Thailand","Hua Hin, Thailand",,,Asara Spa,+66 32 520777,,,https://www.movenpick.com/en/asia/thailand/hua-hin/asara-resort-spa-hua-hin.html
"Azia Resort & Spa, Chlorakas Avenue, Chloraka, Paphos, Cyprus","Paphos, Cyprus",https://www.facebook.com/AziaResortCY/,https://www.instagram.com/aziaresortcy/,ASPHODEL SPA – Azia Resort & Spa,+357 26845100,,https://twitter.com/AziaResort,https://aziaresort.com/Spa
"Astra Falls Creek, 5 Sitzmark Street, Falls Creek, Victoria, Australia","Victoria, Australia",https://www.facebook.com/AstraFallsCreek,https://www.instagram.com/astrafallscreek/,Astra Day Spa,+61 357583496,,,https://astrafallscreek.com.au/day-spa/
Kontokali Bay Resort & Spa,"Corfu, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Kontokali Bay Resort & Spa,+30 2691099000,,,https://www.kontokalibay.gr/spa-hotel-corfu/
"Carnoustie Ayurveda & Wellness Resort, Mararikulam, Chennaveli, Chethy P.O, Cherthala, Alappuzha District, India","Alappuzha, India",https://www.facebook.com/CarnoustieAyurvedaandWellnessResort/,https://www.instagram.com/carnoustieresorts/,ARYAVAIDYASALA,+91  8870714466,,,https://www.carnoustieresorts.com/aryavaidyasala.php
"Mayia Exclusive Resort & Spa,","Kiotari, Greece",https://www.facebook.com/MayiaExclusiveResortSpa,https://www.instagram.com/mayiaexclusiveresort/?hl=en,Aegeo Spas at Mayia Exclusive Resort & Spa,+30 6985157329,,,https://www.hhotels.gr/mayia/spa-wellness/spa-treatments/
"Cayo Exclusive Resort & Spa, Plaka, Schisma Elountas, Crete, Greece","Crete, Greece",https://www.facebook.com/cayoresort/,https://www.instagram.com/cayoresort/,Armonia Aegeo Spa,+30 2841044700 ,,,https://www.cayoresort.com/wellness-in-cayo/
Olea All Suite Hotel,"Zakynthos, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Olea All Suite Hotel,+30 2695022452,,,https://oleaallsuitehotel.com/wellness
Sentido Unique Blue,"Crete, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Sentido Unique Blue,+30 2810333002,,,https://uniqueblueresort.gr/el/fitness-spa-el/
"The Ixian Grand & All Suites - Adults Only Hotel, Rhodes","Rhodes, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at The Ixian Grand Luxurius Spa & Wellness,+30 6982985870,,,https://www.theixiangrand.gr/experiences/spa
The Ivi Mare - Designed for adults,"Paphos, Cyprus",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at The Ivi Mare,+357 97910359,,,https://theivimare.com/el/spa.html
"TUI Blue Caravel, Planos, 29100","Zakynthos, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at TUI Blue Caravel,+30 2695048965,,,https://caravelresortspa.gr/facilities
"Akasha Beach Hotel & Spa, 183 El. Venizelou Str., Hersonissos, Heraklion, Crete, Greece","Crete, Greece",https://www.facebook.com/akashahotel/,https://www.instagram.com/akashahotel_spa/,Akasha,+30 6983795465,,,https://www.akashabeachresort.com/wellness/
"Atmosphere Kanifushi Maldives, ","Lhaviyani Atoll, Maldives",https://www.facebook.com/atmospherekanifushi/?_rdc=1&_rdr,https://www.instagram.com/atmospherekanifushi/,Akiri Spa by Mandara,+960 6620066,,,https://www.atmosphere-kanifushi.com/experience/spa/
"Wilhelminaplein 17, 5611 HG Eindhoven","Eindhoven, Netherlands",https://www.facebook.com/aguacityspa/about/,https://www.instagram.com/agua_skininstitute/,AGUA Skin Institute,+31 407600179,,,https://www.agua.nl/
"NG AFYON, İzmir Karayolu 7.km, Afyonkarahisar, Turkey","Afyonkarahisar, Turkey",https://www.facebook.com/ngafyon/,https://www.instagram.com/ngafyon/?hl=en,Aliva Spa – NG Afyon,+90 2722202222,,https://twitter.com/ngafyon?lang=en,https://nghotels.com.tr/en/
"Tepebaşı Mh. Şehit Cevdet Koç Cd. No:65 Kırkpınar, Sapanca, Sakarya, Turkey","Sapanca, Turkey",https://www.facebook.com/ngsapanca/?rf=773296269380193,https://www.instagram.com/ngsapanca/?hl=en,Aliva Spa – NG Sapanca,+90 2642425600,,https://twitter.com/ngsapanca?lang=en,https://nghotels.com.tr/en/ng-sapanca/
"Minos Beach Art Hotel, Agios Nikolaos, Crete 721 00, Greece","Crete, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,ANANEA WELLNESS by Aegeo Spas at Minos Beach Art Hotel,+30 2841022345,,,https://www.minosbeach.com/wellness/
"Banana Island Resort, Doha, Qatar","Doha, Qatar",https://www.facebook.com/BananaIslandResortDohabyAnantara/,https://www.instagram.com/bananaislandresort/?hl=en,Anantara Spa and Wellness at Banana Island Resort Doha,+974 40405050 ,,https://twitter.com/bananaislanddoh?lang=en,https://www.anantara.com/en/banana-island-doha/spa
"AMAZING SPACE Spa & Wellness Hotel d\'Angleterre Hovedvagtsgade 3 1103, Copenhagen, Denmark","Copenhagen, Denmark",https://www.facebook.com/Amazing-Space-215802365155266/,https://www.instagram.com/amazingspace_/,Amazing Space,+45 33338233,,,https://amazing-space.dk
"Anantara Eastern Mangroves Hotel and Spa, Sheikh Zayed Street, Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates",https://www.facebook.com/AnantaraEasternMangroves/,https://www.instagram.com/anantaraeasternmangroves/?hl=en,Anantara Spa Abu Dhabi,+971 26561146,,https://twitter.com/anantara_hotels?lang=en,https://www.anantara.com/en/eastern-mangroves-abu-dhabi/spa
"Soğanlı, İstanbul Cd No:347, Osmangazi/Bursa, Turkey","Bursa, Turkey",https://www.facebook.com/HiltonBursa/,https://www.instagram.com/hiltonbursa/?hl=en,Aneta Spa,+90 2245000505,,https://twitter.com/hiltonbursa?lang=en,https://www.hilton.com/en/hotels/btzhihi-hilton-bursa-convention-center-and-spa/spa/
