address,link_face,link_twitter,listed_in,name,phone,url,web
"1750 Geary Boulevard, San Francisco, CA 94115, USA",https://facebook.com/KabukiSprings,https://twitter.com/KabukiSprings,"CALIFORNIA, Northern California",Kabuki Springs & Spa – San Francisco,415-922-6000,https://www.spaindex.com/listings/kabuki-springs-spa-sf/,https://kabukisprings.com/
"30687 Southfield Road, Southfield, MI 48076, USA",https://facebook.com/PigalleSalon,https://twitter.com/PigalleSalon,MICHIGAN,Pigalle Salon + MedSpa – Southfield,248-203-2460,https://www.spaindex.com/listings/pigalle-salon-medspa-southfield/,https://www.pigallesalon.com/
"57094 10 Mile Road, South Lyon, MI 48178, USA",https://facebook.com/evolvesalonspa,,MICHIGAN,evolve Salon & Spa – Detroit,(248) 437-8141,https://www.spaindex.com/listings/evolve-salon-spa/,www.evolvesalon.net/
"6525 N. Cosby Ave. Kansas City, MO 64151",https://facebook.com/SonrisaSpa,,MISSOURI,Sonrisa Salon & Day Spa – Kansas City,816-746-4772,https://www.spaindex.com/listings/sonrisa-salon-day-spa-kansas-city/,sonrisadayspa.com
"511 Beaver Street #201, Sewickley, PA 15143, USA",,,PENNSYLVANIA,Casa Dolce Spa – Pittsburgh,412.741.1115,https://www.spaindex.com/listings/casa-dolce-spa-sewickley/,www.casadolcespa.com
"13030 Manchester Road, Des Peres, Missouri 63131",https://facebook.com/pureharmonydayspa,,MISSOURI,Pure Harmony Day Spa – St Louis,314-822-9907,https://www.spaindex.com/listings/pure-harmony-day-spa-mo/,www.pureharmonyspa.com/
"117 First Avenue, Pittsburgh, PA 15222, USA",https://facebook.com/Spa-Jema-275040522332/,https://twitter.com/spajema,PENNSYLVANIA,Spa Jema Organic Day Spa –  Pittsburgh,412-281-3336,https://www.spaindex.com/listings/spa-jema-organic-day-spa-pittsburgh/,www.spajema.com/
"31308 Woodward Avenue, Royal Oak, MI 48073",https://facebook.com/annetteshairstudioandspa,,MICHIGAN,Annette’s Hair Studio & Spa – Royal Oak,248-549-9555,https://www.spaindex.com/listings/annettes-hair-studio-spa-royal-oak/,https://www.annetteshairstudioandspa.com/
"185 FORE STREET, PORTLAND ME 04101",https://facebook.com/9StonesSpa,,MAINE,Nine Stones Spa – Portland,207-772-8480,https://www.spaindex.com/listings/nine-stones-spa-portland-maine/,www.ninestonesspa.com/
"2802 Carlsbad Boulevard, Carlsbad, CA 92008, USA",,,"CALIFORNIA, Southern California",Carlsbad Mineral Water Spa,760-434-1887,https://www.spaindex.com/listings/carlsbad-mineral-water-spa-carlsbad/,www.carlsbadmineralspa.com/
"1950 W Frye Road, Chandler, Arizona 85224 ",https://facebook.com/newhorizonsmedspaaz,,ARIZONA,New Horizons Med Spa – Chandler,480-496-2242,https://www.spaindex.com/listings/new-horizons-med-spa/,www.newhorizonsmedspa.com/
"534 Laguna St, San Francisco, CA 94102",https://facebook.com/Earthbody,https://twitter.com/earthbodysf,"CALIFORNIA, Northern California",Earthbody – San Francisco,415-552-7200,https://www.spaindex.com/listings/earthbody-advanced-therapies-san-francisco/,earthbody.net/
"475 East Vuelta Caminata del Rio, Oro Valley, AZ 85737, USA",https://facebook.com/ImagenSalonDaySpa,https://twitter.com/ImagenSalonSpa,ARIZONA,Imagen Salon & Day Spa – Tucson,520-742-0040,https://www.spaindex.com/listings/imagen-salon-day-spa-oro-valley-tucson/,www.imagensalonspa.com/
"3363 Via Lido, Newport Beach, CA 92663, USA",https://facebook.com/ALTHSkincare,,"CALIFORNIA, Southern California",A Little Touch of Heaven Day Spa – Newport Beach,949-673-5966,https://www.spaindex.com/listings/a-little-touch-of-heaven-day-spa-newport-beach/,https://www.aliltouchofheaven.com/
"519 N La Cienega Blvd Ste 9 West Hollywood, CA 90048",https://facebook.com/pages/The-Humble-Abode/191218337639539,,"CALIFORNIA, Southern California",Humble Abode Day Spa and Salon – West Hollywood,310-360-9300,https://www.spaindex.com/listings/humble-abode-day-spa-west-hollywood/,www.thehumbleabode.com/
"6801 Five Star Blvd., Rocklin, California 95677",https://facebook.com/LaBellaVitaMediSpaRocklin,,"CALIFORNIA, Northern California",La Bella Vita Medi Spa – Rocklin,(916) 624-4959,https://www.spaindex.com/listings/la-bella-vita-medi-spa-rocklin/,https://labellavitamedispa.com/
"680 West Shaw Avenue, Fig Garden Shopping Center, Fresno, CA 93704, USA",https://facebook.com/SpaHungryHair,,"CALIFORNIA, Central California",The Spa & Hungry Hair Salon – Fresno,559-229-9553,https://www.spaindex.com/listings/the-spa-at-fig-garden-village-fresno-ca/,www.thespaatfgv.com/
"428 Poli Street, Ventura, CA 93001, USA",https://facebook.com/CoastalSkinCareVentura,https://twitter.com/coastalskincare,"CALIFORNIA, Southern California",Coastal Skin Care Day Spa – Ventura,805-641-2345 ,https://www.spaindex.com/listings/coastal-skin-care-day-spa-ventura-ca/,https://coastalskincare.net/
"417 Cedar Street, Santa Cruz, CA 95060, USA",,,"CALIFORNIA, Central California, Northern California",Well Within Spa – Santa Cruz,831-458-9355,https://www.spaindex.com/listings/well-within-spa/,www.wellwithinspa.com
"120 Oakbrook Center, Oak Brook, Il 60523",https://facebook.com/oakbrookmall,https://twitter.com/Rejuvenate_MSpa,ILLINOIS,Rejuvenate Med Spa – Oak Brook,630-518-4201,https://www.spaindex.com/listings/rejuvenate-med-spa-oak-brook/,https://medsparejuvenate.com/
"112 Elm Street, Santa Cruz, CA 95060, USA",,,"CALIFORNIA, Central California, Northern California",Tea House Spa – Santa Cruz,831-426-9700,https://www.spaindex.com/listings/tea-house-spa-ca/,teahousespa.com
"410 E Lincoln Hwy, New Lenox, IL 60451",https://facebook.com/TheSpaAtTheWomensCenter,,ILLINOIS,True MedSpa – New Lenox,(815) 462-5544,https://www.spaindex.com/listings/true-medspa-new-lenox/,https://truemedspacenter.com/
"524 Tremont Street, Boston, MA 02116, USA",https://facebook.com/etantboston,,MASSACHUSETTS,étant Spa for Well Being – Boston,617-423-5040,https://www.spaindex.com/listings/etant-boston/,https://etant.com/
"229 Main Street, Salinas, CA 93901, USA",,,"CALIFORNIA, Central California",Aquablue Skin & Body Spa – Monterey,831-422-2500,https://www.spaindex.com/listings/aquablue-skin-body-spa-salinas/,www.aquabluespa.com/
"1136 East 3rd Avenue, Salt Lake City, UT 84103, USA",https://facebook.com/thekuradoor,,UTAH,Kura Door Holistic Japanese Spa – SLC,801-364-2400,https://www.spaindex.com/listings/kura-door-holistic-japanese-spa-slc/,www.thekuradoor.com/
"2022 Bellevue Square, Bellevue, WA 98004",https://facebook.com/SkinSpiritSkincareClinicSpa,https://twitter.com/skinspirit,WASHINGTON,SkinSpirit Medical Spa – Bellevue,425-688-7800 ,https://www.spaindex.com/listings/skinspirit-medical-spa-bellevue/,www.skinspirit.com/
"242 Jetty Drive Grand Rivers, KY 42025",https://facebook.com/JadeandEarth,,KENTUCKY,Jade & Earth Spa – Grand Rivers,270-362-1820,https://www.spaindex.com/listings/jade-and-earth-kentucky/,https://www.greenturtlebay.com/spa-health-club
"1101 Draper Parkway, Draper, UT 84020, USA",https://facebook.com/treehouseathleticclub,,UTAH,Falling Waters Day Spa and Salon – Draper,801-501-9000,https://www.spaindex.com/listings/falling-waters-day-spa-draper/,www.fallingwatersdayspa.com/
"1541 East Fabyan Parkway, Geneva, Illinois 60134",,,ILLINOIS,Salternative Spa – Geneva,630-845-3333,https://www.spaindex.com/listings/salternative-spa/,https://www.salternativespa.com/
"17887 Redmond Way, Suite 120, Redmond, WA 98052",https://facebook.com/SkinSpiritSkincareClinicSpa,https://twitter.com/skinspirit,WASHINGTON,SkinSpirit Medical Spa – Redmond,425-882-1800,https://www.spaindex.com/listings/skinspirit-medical-spa-redmond/,www.skinspirit.com/
"1650 Liliha Street, Honolulu, HI 96817",https://facebook.com/honmedspa,,"HAWAII, Oahu",Honolulu Med Spa – Oahu,808-528-0888,https://www.spaindex.com/listings/honolulu-med-spa-oahu/,honolulumedspa.com/
"373 New Boston Road, Fall River, MA 02720, USA",https://facebook.com/Spa-Noor-Medical-Spa-and-Weight-loss-Center-1681182692150594,,MASSACHUSETTS,Spa Noor – Fall River,508-556-6295,https://www.spaindex.com/listings/spa-noor-of-fall-river/,https://spanoor.com/
"29 West Moody Avenue Webster Groves, MO 63119",https://facebook.com/vitalityspaSTL,https://twitter.com/vitalityspaSTL,MISSOURI,Vitality Unlimited Wholistic Health Spa – St Louis,314-968-1808,https://www.spaindex.com/listings/vitality-unlimited-wholistic-health-spa/,vitalityunlimitedspa.com/
"2208 W Willow Knolls Dr, Peoria, IL 61614, USA",,,ILLINOIS,Senara Health and Healing Center & Spa – Peoria,(309) 693-3615,https://www.spaindex.com/listings/senara-health-and-healing-center-spa-peoria/,https://www.experiencesenara.com/
"5568 Beckley Road, Battle Creek, MI 49017",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Battle Creek,(269) 719-8480,https://www.spaindex.com/listings/massage-green-spa-battle-creek/,https://spaindex.link/MassageGreenSpas
"960 Caughlin Crossing, Reno, NV 89519",https://facebook.com/Renovationmedicalspa,,NEVADA,Renovation Medical Spa – Reno,775-345-3628,https://www.spaindex.com/listings/renovation-medical-spa-reno/,renovationmedicalspa.com
"23624 Michigan Ave., Dearborn, MI 48124",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – All MI Locations,,https://www.spaindex.com/listings/massage-green-spa-michigan/,https://spaindex.link/MassageGreenSpas
" 5840 Hampton Ave., St Louis, MO 63109 ",https://facebook.com/thiswayladies,https://twitter.com/thiswayladies,MISSOURI,This Way Ladies Fitness & Wellness Center – St Louis,(314) 685-2085,https://www.spaindex.com/listings/this-way-ladies-st-louis/,www.thiswayladies.com/
"7200 Rancharrah Parkway, Reno, NV 89511",https://facebook.com/dolcevitawellnessspa,,NEVADA,Dolce Vita Medical Spa – Reno,775-296-6985,https://www.spaindex.com/listings/dolce-vita-medical-spa-reno/,dolcevitawellnessspa.com/
