location,name
"637-639 Hoàng Hoa Thám, P. Vĩnh Phúc, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"137A Đội Cấn, P. Đội Cấn, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"33 Núi Trúc, P. Kim Mã, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"363 Đội Cấn, P. Liễu Giai, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"57 Đê La Thành, P. Ngọc Khánh, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"563 Hoàng Hoa Thám, P. Cống Vị, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"279B Đội Cấn, P. Ngọc Hà, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"108 – 110 Ngọc Khánh, P. Ngọc Khánh, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"109 Hoàng Hoa Thám, P. Ngọc Hà, Q. Ba Đình, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 54 Trường Lâm, phường Đức Giang, quận Long Biên, Hà Nội",Nhà thuốc bệnh viện đa khoa Đức Giang
"Số 71 Trường Lâm, phường Đức Giang, quận Long Biên, Hà Nội 
SĐT: 0975384385",Nhà thuốc Gtue Pharma
"73 Ngõ 638 Ngô Gia Tự, P. Đức Giang, Q. Long Biên, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"232 Ngô Gia Tự, P. Đức Giang, Q. Long Biên, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"226-228 Ngọc Lâm, P. Ngọc Lâm, Q. Long Biên, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"140 Ngọc Thụy, P. Ngọc Thụy, Q. Long Biên, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Sân TMDV số H2 – TM9 Hope Residences, phường Phúc Đồng, quận Long Biên, Hà Nội 
SĐT: 0357575586",Nhà thuốc 365 CARE
"102 Sài Đồng, P. Sài Đồng, Q. Long Biên, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"249 Thạch Bàn, P. Thạch Bàn, Q. Long Biên, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Gian hàng KD số 1201, tầng 1, tòa nhà CT2B, chung cư Hà Nội Home Land, phường Thượng Thanh 
SĐT: 0357381486",Nhà thuốc 365 CARE
"Kiot 07 dự án TSM Lotus Sài Đồng, phường Việt Hưng, quận Long Biên, Hà Nội 
SĐT: 0356419345",Nhà thuốc 365 CARE
"Số 10 Hàm Nghi, phường Cầu Diễn, quận Nam Từ Liêm, Hà Nội 
SĐT: 0906201755",Nhà thuốc 24H
"Số 115 ngõ 32 Đỗ Đức Dục, phường Mễ Trì, quận Nam Từ Liêm, Hà Nội 
SĐT: 0914268688",Nhà thuốc Thái Bình
"396 – 398 Đại Mỗ, P. Đại Mỗ, Q. Nam Từ Liêm, TP. Hà Nội",Nhà thuốc Long Châu
"06 Đồng Me, TDP số 5 Mễ Trì Hạ, P. Mễ Trì, Q. Nam Từ Liêm, TP. Hà Nội",Nhà thuốc Long Châu
"Gian hàng kinh doanh số 108, tầng 1, nhà chung cư số G3, Vinhomes Green Bay, phường Mễ Trì, quận Nam Từ Liêm, Hà Nội 
SĐT: 0334201488",Nhà thuốc 365 CARE
"1D Khu TT Tổng Cục 2 (1D ngõ 139 đường Mỹ Đình), P. Mỹ Đình 1, Q. Nam Từ Liêm, TP. Hà Nội",Nhà thuốc Long Châu
"Số 1 ngõ 35 Lê Đức Thọ, phường Mỹ Đình, quận Nam Từ Liêm, Hà Nội 
SĐT: 0853079015",Nhà thuốc Quỳnh Phương
"33 Tây Mỗ, P. Tây Mỗ, Q. Nam Từ Liêm, TP. Hà Nội",Nhà thuốc Long Châu
"Số 127 Giải Phóng, phường Đồng Tâm, quận Hai Bà Trưng, Hà Nội 
SĐT: 0379089235",Nhà thuốc Long Tâm
"Số 199 Giải Phóng, phường Đồng Tâm, quận Hai Bà Trưng, Hà Nội 
SĐT: 0379089235",Nhà thuốc Long Tâm
"430 Bạch Mai, P. Trương Định, Q. Hai Bà Trưng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
